epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,435.319,0.64729,0.61111,1,3.00072,0.000473481,0.000473481,0.000473481
2,878.005,0.3937,0.51111,1,2.84209,0.000940411,0.000940411,0.000940411
3,1303.99,0.40498,0.57778,1,4.90058,0.00139791,0.00139791,0.00139791
4,1727.13,0.38949,0.45556,1,5.30064,0.00138656,0.00138656,0.00138656
5,2153.75,0.36898,0.58889,1,4.29456,0.00137241,0.00137241,0.00137241
6,2579.87,0.29567,0.54444,1,7.34435,0.00135826,0.00135826,0.00135826
7,3011.06,0.27404,0.56667,1,4.87917,0.00134412,0.00134412,0.00134412
8,3438.96,0.24038,0.57778,1,4.77584,0.00132997,0.00132997,0.00132997
9,3868.44,0.23745,0.57778,1,5.2787,0.00131582,0.00131582,0.00131582
10,4299.93,0.23346,0.58889,1,5.54904,0.00130168,0.00130168,0.00130168
11,4734.82,0.20411,0.57778,1,6.27638,0.00128753,0.00128753,0.00128753
12,5166.46,0.19973,0.58889,1,5.43791,0.00127338,0.00127338,0.00127338
13,5615.03,0.19087,0.58889,1,8.38474,0.00125923,0.00125923,0.00125923
