epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.0317,1.16709,15.6295,1.54112,0,0,0,0,0,234.465,0,0.000548972,0.000548972,0.000548972
2,144.696,1.17882,13.3842,1.54571,0,0,0,0,0,207.467,0,0.00110452,0.00110452,0.00110452
3,213.163,1.26343,11.025,1.6135,0,0,0,0,0,225.545,0,0.00165958,0.00165958,0.00165958
4,284.979,1.26692,8.73139,1.60731,0,0,0,0,0,100.916,0,0.00166537,0.00166537,0.00166537
5,364.107,1.31691,6.28462,1.59681,0,0,0,0,0,165.584,0,0.00166411,0.00166411,0.00166411
6,448.407,1.17398,5.13469,1.50439,0,0,0,0,0,115.479,0,0.00166248,0.00166248,0.00166248
7,534.635,1.23104,3.86656,1.55231,0,0,0,0,0,126.582,0,0.00166049,0.00166049,0.00166049
8,653.12,1.12958,3.28032,1.41908,0,0,0,0,0,148.953,0,0.00165815,0.00165815,0.00165815
9,1776.65,1.10392,2.72446,1.40826,0,0,0,0,0,121.423,0,0.00165544,0.00165544,0.00165544
10,3820.2,1.16104,2.32109,1.51572,0,0,0,0,0,102.185,0,0.00165238,0.00165238,0.00165238
11,4849.84,1.05266,1.92161,1.36247,0,0,0,0,0,129.601,0,0.00164897,0.00164897,0.00164897
12,5380.69,1.00209,1.71954,1.32388,0,0,0,0,0,112.799,0,0.0016452,0.0016452,0.0016452
13,5471.35,1.06111,1.51875,1.37083,0,0,0,0,0,94.8297,0,0.00164108,0.00164108,0.00164108
14,5574.19,0.97331,1.42944,1.29127,0,0,0,0,0,110.57,0,0.0016366,0.0016366,0.0016366
15,5672.23,1.02342,1.34742,1.329,0,0,0,0,0,98.1558,0,0.00163178,0.00163178,0.00163178
16,5776.48,1.05171,1.21929,1.36366,0,0,0,0,0,69.7084,0,0.00162661,0.00162661,0.00162661
17,5893.45,1.04388,1.13047,1.30422,0,0,0,0,0,130.201,0,0.0016211,0.0016211,0.0016211
18,6132.09,0.94179,1.10595,1.28698,0,0,0,0,0,204.907,0,0.00161525,0.00161525,0.00161525
19,7771.5,0.95377,1.14727,1.29569,0,0,0,0,0,128.413,0,0.00160905,0.00160905,0.00160905
20,8030.4,0.86499,0.91374,1.20012,0,0,0,0,0,114.12,0,0.00160252,0.00160252,0.00160252
21,8171.1,0.87353,0.96084,1.23848,0,0,0,0,0,179.856,0,0.00159566,0.00159566,0.00159566
22,8324.88,0.88951,0.96594,1.2438,0,0,0,0,0,116.938,0,0.00158847,0.00158847,0.00158847
23,8480.98,0.8752,0.83516,1.24247,0,0,0,0,0,174.195,0,0.00158094,0.00158094,0.00158094
24,8774.24,0.814,0.72303,1.1894,0,0,0,0,0,127.342,0,0.0015731,0.0015731,0.0015731
25,9381.99,0.87482,0.73649,1.25588,0,0,0,0,0,120.058,0,0.00156493,0.00156493,0.00156493
26,9565.62,0.80436,0.68644,1.15644,0,0,0,0,0,149.324,0,0.00155645,0.00155645,0.00155645
27,9740.81,0.71632,0.65292,1.11739,0,0,0,0,0,134.902,0,0.00154765,0.00154765,0.00154765
28,10413.7,0.76518,0.74367,1.14599,0,0,0,0,0,139.757,0,0.00153854,0.00153854,0.00153854
29,11434.4,0.73854,0.61251,1.13723,0,0,0,0,0,122.141,0,0.00152913,0.00152913,0.00152913
